Tempo Injecao;Tempo Plastificacao;Tempo de Ciclo;Almofada;Pressao Maxima;Qualidade
2,72;5,16;25,1;16,46;75,9;OK
2,71;5,16;25,1;16,45;75,9;OK
2,72;5,18;25,2;16,44;75,8;OK
2,72;5,16;25,1;16,48;75,9;OK
2,71;5,21;25,2;16,42;75,2;OK
2,72;5,14;25,1;16,48;76,4;OK
2,71;5,19;25,2;16,43;75,3;OK
2,72;5,13;25,1;16,49;76,2;OK
2,72;5,12;25,1;16,49;76,2;OK
2,71;5,15;25,1;16,44;75,8;OK
2,72;5,14;25,2;16,44;75,9;OK
2,72;5,12;25,1;16,48;76,3;OK
2,73;5,13;25,1;16,47;76,2;OK
2,72;5,12;25,1;16,49;75,8;OK
2,72;5,18;25,2;16,4;75,7;OK
2,71;5,19;25,2;16,44;75,2;OK
2,73;5,15;25,1;16,48;76,1;OK
2,71;5,24;25,2;16,43;75;OK
2,72;5,17;25,2;16,48;75,8;OK
2,72;5,22;25,2;16,44;75,5;OK
2,71;5,2;50;16,42;75,1;OK
2,77;5,2;25,2;16,69;83,8;NOK (Filling)
2,77;5,22;25,3;16,49;81,2;NOK (Filling)
2,7;5,29;25,3;16,47;77,6;NOK (Filling)
2,7;5,65;25,6;16,39;75,3;OK
2,72;5,46;25,4;16,48;75,8;OK
2,72;5,32;25,3;16,42;76;OK
2,7;5,3;25,3;16,42;75,5;OK
2,72;5,2;25,2;16,48;76,1;OK
2,71;5,19;25,2;16,46;75,6;OK
2,73;5,18;25,2;16,48;75,7;OK
2,72;5,22;25,2;16,44;75,9;OK
2,72;5,24;25,2;16,41;75,3;OK
2,73;5,19;25,2;16,46;76;OK
2,71;5,22;25,2;16,48;75,1;OK
2,73;5,18;25,2;16,47;76,1;OK
2,72;5,19;25,2;16,5;75,4;OK
2,74;5,15;25,2;16,47;76,1;OK
2,72;5,21;25,2;16,47;75,6;OK
2,72;5,19;25,2;16,44;75,7;OK
2,73;5,18;25,2;16,46;76,1;OK
2,71;5,23;25,2;16,45;75,1;OK
2,72;5,18;25,2;16,5;75,8;OK
2,72;5,19;25,2;16,45;75,7;OK
2,71;5,18;25,2;16,43;75,4;OK
2,73;5,15;25,1;16,49;76;OK
2,73;5,16;25,2;16,44;75,9;OK
